id;amount;status;payment_method;shipping_address;comment
1;9447;SHIPPED;Intranet index saepe;mobile Elegant;shrilly male
2;26985;PENDING;Strategist;bypassing;Hybrid
3;9699;DELIVERED;female woo Manganese;Applications Director;Southwest
4;17551;SHIPPED;Cape Holmium motivating;Hybrid productize B2B;Books Helium
5;23867;PENDING;fixed;Toys;CFA New Nitzsche
6;154;PENDING;Interactions atone Progressive;Aland parsing;Honda Northwest
7;16659;SHIPPED;bluetooth;Operative Keys;opposite
8;11780;DELIVERED;Persistent;Integration Centralized gah;Account productize
9;18998;CANCELED;Bicycle;Liaison match;Convertible Officer
10;13923;PENDING;accusamus;Ytterbium delectus East;Omnigender minus
