id;name;category;price;quantity;description
1;kindly;navigating Thulium;6995;25383;index quarrelsome
2;Principal;Oriental Convertible South;18381;347;aut
3;Mouse Directives;cultivate;2171;32707;Sedan
4;consequently Metal Concrete;Astatine;29723;28113;Porsche dim
5;expedite withdrawal;Developer Loan;1222;26591;studio convergence
6;Burundi illo Jeep;Bronze;26910;6965;farad male
7;Buckinghamshire;calculate invoice possimus;4580;6050;white Auto minus
8;Response Concrete longingly;project;29631;15950;Berkshire West Woman
9;Chevrolet Classical;blindly;2386;5885;supposing
10;generating;Northwest;1474;14771;Peso female
